"Unable to remove synonym with ID %1. Error: %2","Unable to remove synonym with ID %1. Error: %2"
"Unable to remove synonym. Error: %1","Unable to remove synonym. Error: %1"
"You disabled %1 ElasticSearch Relevance Rules based on ""%2"" attribute.","You disabled %1 ElasticSearch Relevance Rules based on ""%2"" attribute."
"Sorry, search engine is currently unavailable","Sorry, search engine is currently unavailable"
"Invalid method %1::%2","Invalid method %1::%2"
"%1 StopWords were imported for store %2","%1 StopWords were imported for store %2"
"There are no file for import: %1","There are no file for import: %1"
Edit,Edit
Delete,Delete
"Are you sure you want to delete the rule?","Are you sure you want to delete the rule?"
"Are you sure you want to delete Stop Word?","Are you sure you want to delete Stop Word?"
"Are you sure you want to delete Synonym?","Are you sure you want to delete Synonym?"
"Stop words should not contain whitespaces.","Stop words should not contain whitespaces."
"Elastic Search","Elastic Search"
Information,Information
Connection,Connection
"Search Engine","Search Engine"
"Elasticsearch Server Hostname","Elasticsearch Server Hostname"
"Elasticsearch Server Port","Elasticsearch Server Port"
"Elasticsearch Index Prefix","Elasticsearch Index Prefix"
"Enable Elasticsearch HTTP Auth","Enable Elasticsearch HTTP Auth"
"Elasticsearch HTTP Username","Elasticsearch HTTP Username"
"Elasticsearch HTTP Password","Elasticsearch HTTP Password"
"Elasticsearch Server Timeout","Elasticsearch Server Timeout"
"Custom Analyzer","Custom Analyzer"
"Test Connection","Test Connection"
Catalog,Catalog
"Wildcard Type","Wildcard Type"
"Specify the type of the autocomplete suggestion - the part of a word which will be auto-completed. Shoppers can input a half-finished word and get a relevant result.","Specify the type of the autocomplete suggestion - the part of a word which will be auto-completed. Shoppers can input a half-finished word and get a relevant result."
"Enable Wildcard After","Enable Wildcard After"
"Specify a number of symbols to apply autocomplete suggestion after.","Specify a number of symbols to apply autocomplete suggestion after."
"Enable Spell Correction After","Enable Spell Correction After"
"Specify a number of symbols to apply spell correction after.","Specify a number of symbols to apply spell correction after."
"Max Number of Search Results","Max Number of Search Results"
"Allow Special Characters","Allow Special Characters"
"Search Query Settings","Search Query Settings"
"Specify the search type preferences for each product attribute. Please consult the <a href=""https://amasty.com/docs/doku.php?id=magento_2:elastic_search#advanced_query_settings"">user guide</a>.","Specify the search type preferences for each product attribute. Please consult the <a href=""https://amasty.com/docs/doku.php?id=magento_2:elastic_search#advanced_query_settings"">user guide</a>."
"Indexation Settings","Indexation Settings"
"Use Inbox Stopwords","Use Inbox Stopwords"
Language,Language
"Use Inbox Stemming","Use Inbox Stemming"
"Indexation Mode","Indexation Mode"
"Setting determines how engine handles compound and unknown words under indexation","Setting determines how engine handles compound and unknown words under indexation"
"Use Reading Form","Use Reading Form"
"Setting replaces words with its reading form in either katakana or romaji","Setting replaces words with its reading form in either katakana or romaji"
"Setting rewrites words written in Hanja to their Hangul form","Setting rewrites words written in Hanja to their Hangul form"
"Debug Settings","Debug Settings"
"Is Debug Active","Is Debug Active"
"Log Requests for Bucket Alerts","Log Requests for Bucket Alerts"
"Log Request Object","Log Request Object"
"Log Raw Request","Log Raw Request"
"Log Raw Response","Log Raw Response"
"Log Response Object","Log Response Object"
"Amasty: ElasticSearch - Relevance Rules (Rules)","Amasty: ElasticSearch - Relevance Rules (Rules)"
"Indexed rule/product association","Indexed rule/product association"
"Amasty: ElasticSearch - Relevance Rules (Products)","Amasty: ElasticSearch - Relevance Rules (Products)"
"Indexed product/rule association","Indexed product/rule association"
"Amasty: ElasticSearch - Popup Data","Amasty: ElasticSearch - Popup Data"
"Indexed data for popup","Indexed data for popup"
"Relevance Rule Information","Relevance Rule Information"
Back,Back
Save,Save
Reset,Reset
Title,Title
Enabled,Enabled
Website,Website
Active,Active
from,from
"Active To","Active To"
to,to
"Product Relevance","Product Relevance"
times,times
"Specify a number from 1 to 100. Please click to consult the user guide.","Specify a number from 1 to 100. Please click to consult the user guide."
"Add New Rule","Add New Rule"
"Delete terms","Delete terms"
"Are you sure you want to delete selected rules?","Are you sure you want to delete selected rules?"
Id,Id
Rule,Rule
Status,Status
"Stop Word Information","Stop Word Information"
"Stop Word","Stop Word"
"Store View","Store View"
"Import Information","Import Information"
Import,Import
"File Upload","File Upload"
"Please upload the CSV file","Please upload the CSV file"
"Add New Stop Word","Add New Stop Word"
"Are you sure you want to delete selected terms?","Are you sure you want to delete selected terms?"
"Synonym Information","Synonym Information"
"Synonym Enumeration","Synonym Enumeration"
"Please insert comma-separated values, like ""original word, synonym, synonym"".","Please insert comma-separated values, like ""original word, synonym, synonym""."
"Add New Synonym","Add New Synonym"
